,State,Year,Year_Count
0,AL,2016,133
1,AL,2017,600
2,AL,2018,935
3,AL,2019,1036
4,AL,2020,5016
5,AL,2021,11602
6,AR,2016,26
7,AR,2017,62
8,AR,2018,388
9,AR,2019,839
10,AR,2020,2262
11,AR,2021,7358
12,AZ,2016,2715
13,AZ,2017,3585
14,AZ,2018,3539
15,AZ,2019,2664
16,AZ,2020,13948
17,AZ,2021,30053
18,CA,2016,33592
19,CA,2017,35230
20,CA,2018,34536
21,CA,2019,107841
22,CA,2020,195831
23,CA,2021,388838
24,CO,2016,1286
25,CO,2017,2147
26,CO,2018,3492
27,CO,2019,5994
28,CO,2020,5531
29,CO,2021,6890
30,CT,2016,1998
31,CT,2017,2388
32,CT,2018,1967
33,CT,2019,1576
34,CT,2020,5555
35,CT,2021,16278
36,DC,2016,144
37,DC,2017,293
38,DC,2018,453
39,DC,2019,356
40,DC,2020,2015
41,DC,2021,5872
42,DE,2016,204
43,DE,2017,344
44,DE,2018,363
45,DE,2019,232
46,DE,2020,900
47,DE,2021,2799
48,FL,2016,8783
49,FL,2017,14619
50,FL,2018,13064
51,FL,2019,9855
52,FL,2020,76672
53,FL,2021,278395
54,GA,2016,2872
55,GA,2017,5154
56,GA,2018,6095
57,GA,2019,5199
58,GA,2020,8761
59,GA,2021,12005
60,IA,2016,735
61,IA,2017,998
62,IA,2018,199
63,IA,2019,507
64,IA,2020,1722
65,IA,2021,5446
66,ID,2016,418
67,ID,2017,312
68,ID,2018,348
69,ID,2019,522
70,ID,2020,1783
71,ID,2021,5161
72,IL,2016,6677
73,IL,2017,9727
74,IL,2018,7043
75,IL,2019,6328
76,IL,2020,9083
77,IL,2021,8247
78,IN,2016,1553
79,IN,2017,1998
80,IN,2018,1795
81,IN,2019,1771
82,IN,2020,3617
83,IN,2021,10116
84,KS,2016,760
85,KS,2017,1181
86,KS,2018,954
87,KS,2019,520
88,KS,2020,1259
89,KS,2021,4359
90,KY,2016,1044
91,KY,2017,866
92,KY,2018,1055
93,KY,2019,579
94,KY,2020,1898
95,KY,2021,1196
96,LA,2016,798
97,LA,2017,561
98,LA,2018,1252
99,LA,2019,806
100,LA,2020,11625
101,LA,2021,32190
102,MA,2016,820
103,MA,2017,875
104,MA,2018,827
105,MA,2019,691
106,MA,2020,2363
107,MA,2021,816
108,MD,2016,1988
109,MD,2017,4405
110,MD,2018,3636
111,MD,2019,3529
112,MD,2020,15836
113,MD,2021,35691
114,ME,2016,132
115,ME,2017,579
116,ME,2018,677
117,ME,2019,613
118,ME,2020,186
119,ME,2021,6
120,MI,2016,2975
121,MI,2017,5204
122,MI,2018,5177
123,MI,2019,4886
124,MI,2020,6819
125,MI,2021,18782
126,MN,2016,2517
127,MN,2017,3460
128,MN,2018,2253
129,MN,2019,11311
130,MN,2020,26480
131,MN,2021,51164
132,MO,2016,2756
133,MO,2017,4026
134,MO,2018,2941
135,MO,2019,1677
136,MO,2020,4097
137,MO,2021,14136
138,MS,2016,393
139,MS,2017,320
140,MS,2018,434
141,MS,2019,452
142,MS,2020,913
143,MS,2021,2808
144,MT,2016,59
145,MT,2017,127
146,MT,2018,105
147,MT,2019,153
148,MT,2020,2193
149,MT,2021,13327
150,NC,2016,4276
151,NC,2017,7387
152,NC,2018,3952
153,NC,2019,2545
154,NC,2020,22683
155,NC,2021,50519
156,ND,2016,3
157,ND,2018,15
158,ND,2019,12
159,ND,2020,365
160,ND,2021,1863
161,NE,2016,367
162,NE,2017,293
163,NE,2018,223
164,NE,2019,388
165,NE,2020,800
166,NE,2021,1249
167,NH,2016,250
168,NH,2017,1139
169,NH,2018,985
170,NH,2019,994
171,NH,2020,420
172,NH,2021,78
173,NJ,2016,3961
174,NJ,2017,4252
175,NJ,2018,3882
176,NJ,2019,3682
177,NJ,2020,11123
178,NJ,2021,26002
179,NM,2016,151
180,NM,2017,274
181,NM,2018,211
182,NM,2019,228
183,NM,2020,505
184,NM,2021,1001
185,NV,2016,1239
186,NV,2017,1068
187,NV,2018,310
188,NV,2019,268
189,NV,2020,458
190,NV,2021,2854
191,NY,2016,6823
192,NY,2017,7717
193,NY,2018,6505
194,NY,2019,6752
195,NY,2020,24048
196,NY,2021,56204
197,OH,2016,3801
198,OH,2017,4675
199,OH,2018,4981
200,OH,2019,977
201,OH,2020,6682
202,OH,2021,3293
203,OK,2016,519
204,OK,2017,840
205,OK,2018,469
206,OK,2019,149
207,OK,2020,3481
208,OK,2021,3348
209,OR,2016,921
210,OR,2017,1397
211,OR,2018,15358
212,OR,2019,34819
213,OR,2020,28488
214,OR,2021,45358
215,PA,2016,3404
216,PA,2017,3780
217,PA,2018,2087
218,PA,2019,1647
219,PA,2020,24107
220,PA,2021,64950
221,RI,2016,635
222,RI,2017,785
223,RI,2018,772
224,RI,2019,758
225,RI,2020,649
226,RI,2021,852
227,SC,2016,998
228,SC,2017,1797
229,SC,2018,1558
230,SC,2019,1200
231,SC,2020,16850
232,SC,2021,66813
233,SD,2016,6
234,SD,2017,11
235,SD,2018,9
236,SD,2019,26
237,SD,2020,127
