,State,Year,Year_Count,State_Name
0,AL,2016,133,Alabama
1,AL,2017,600,Alabama
2,AL,2018,935,Alabama
3,AL,2019,1036,Alabama
4,AL,2020,5016,Alabama
5,AL,2021,11602,Alabama
6,AR,2016,26,Arkansas
7,AR,2017,62,Arkansas
8,AR,2018,388,Arkansas
9,AR,2019,839,Arkansas
10,AR,2020,2262,Arkansas
11,AR,2021,7358,Arkansas
12,AZ,2016,2715,Arizona
13,AZ,2017,3585,Arizona
14,AZ,2018,3539,Arizona
15,AZ,2019,2664,Arizona
16,AZ,2020,13948,Arizona
17,AZ,2021,30053,Arizona
18,CA,2016,33592,California
19,CA,2017,35230,California
20,CA,2018,34536,California
21,CA,2019,107841,California
22,CA,2020,195831,California
23,CA,2021,388838,California
24,CO,2016,1286,Colorado
25,CO,2017,2147,Colorado
26,CO,2018,3492,Colorado
27,CO,2019,5994,Colorado
28,CO,2020,5531,Colorado
29,CO,2021,6890,Colorado
30,CT,2016,1998,Connecticut
31,CT,2017,2388,Connecticut
32,CT,2018,1967,Connecticut
33,CT,2019,1576,Connecticut
34,CT,2020,5555,Connecticut
35,CT,2021,16278,Connecticut
36,DC,2016,144,District of Columbia
37,DC,2017,293,District of Columbia
38,DC,2018,453,District of Columbia
39,DC,2019,356,District of Columbia
40,DC,2020,2015,District of Columbia
41,DC,2021,5872,District of Columbia
42,DE,2016,204,Delaware
43,DE,2017,344,Delaware
44,DE,2018,363,Delaware
45,DE,2019,232,Delaware
46,DE,2020,900,Delaware
47,DE,2021,2799,Delaware
48,FL,2016,8783,Florida
49,FL,2017,14619,Florida
50,FL,2018,13064,Florida
51,FL,2019,9855,Florida
52,FL,2020,76672,Florida
53,FL,2021,278395,Florida
54,GA,2016,2872,Georgia
55,GA,2017,5154,Georgia
56,GA,2018,6095,Georgia
57,GA,2019,5199,Georgia
58,GA,2020,8761,Georgia
59,GA,2021,12005,Georgia
60,IA,2016,735,Iowa
61,IA,2017,998,Iowa
62,IA,2018,199,Iowa
63,IA,2019,507,Iowa
64,IA,2020,1722,Iowa
65,IA,2021,5446,Iowa
66,ID,2016,418,Idaho
67,ID,2017,312,Idaho
68,ID,2018,348,Idaho
69,ID,2019,522,Idaho
70,ID,2020,1783,Idaho
71,ID,2021,5161,Idaho
72,IL,2016,6677,Illinois
73,IL,2017,9727,Illinois
74,IL,2018,7043,Illinois
75,IL,2019,6328,Illinois
76,IL,2020,9083,Illinois
77,IL,2021,8247,Illinois
78,IN,2016,1553,Indiana
79,IN,2017,1998,Indiana
80,IN,2018,1795,Indiana
81,IN,2019,1771,Indiana
82,IN,2020,3617,Indiana
83,IN,2021,10116,Indiana
84,KS,2016,760,Kansas
85,KS,2017,1181,Kansas
86,KS,2018,954,Kansas
87,KS,2019,520,Kansas
88,KS,2020,1259,Kansas
89,KS,2021,4359,Kansas
90,KY,2016,1044,Kentucky
91,KY,2017,866,Kentucky
92,KY,2018,1055,Kentucky
93,KY,2019,579,Kentucky
94,KY,2020,1898,Kentucky
95,KY,2021,1196,Kentucky
96,LA,2016,798,Louisiana
97,LA,2017,561,Louisiana
98,LA,2018,1252,Louisiana
99,LA,2019,806,Louisiana
100,LA,2020,11625,Louisiana
101,LA,2021,32190,Louisiana
102,MA,2016,820,Massachusetts
103,MA,2017,875,Massachusetts
104,MA,2018,827,Massachusetts
105,MA,2019,691,Massachusetts
106,MA,2020,2363,Massachusetts
107,MA,2021,816,Massachusetts
108,MD,2016,1988,Maryland
109,MD,2017,4405,Maryland
110,MD,2018,3636,Maryland
111,MD,2019,3529,Maryland
112,MD,2020,15836,Maryland
113,MD,2021,35691,Maryland
114,ME,2016,132,Maine
115,ME,2017,579,Maine
116,ME,2018,677,Maine
117,ME,2019,613,Maine
118,ME,2020,186,Maine
119,ME,2021,6,Maine
120,MI,2016,2975,Michigan
121,MI,2017,5204,Michigan
122,MI,2018,5177,Michigan
123,MI,2019,4886,Michigan
124,MI,2020,6819,Michigan
125,MI,2021,18782,Michigan
126,MN,2016,2517,Minnesota
127,MN,2017,3460,Minnesota
128,MN,2018,2253,Minnesota
129,MN,2019,11311,Minnesota
130,MN,2020,26480,Minnesota
131,MN,2021,51164,Minnesota
132,MO,2016,2756,Missouri
